user,EN MSE,EN cos,EN rank,ES MSE,ES cos,ES rank,FR MSE,FR cos,FR rank,IT MSE,IT cos,IT rank,RU MSE,RU cos,RU rank,Unnamed: 19,Avg EN,Avg ES,Avg FR,Avg IT,Avg RU,Rank EN,Rank ES,Rank FR,Rank IT,Rank RU
Locchi,8.0,14.0,17.0,,,,,,,8.0,13.0,16.0,,,,False,13.0,,,12.333333333333334,,5,,,4,
Nihed_Bendahman_,14.0,26.0,8.0,15.0,19.0,10.0,14.0,20.0,13.0,18.0,16.0,14.0,10.0,15.0,12.0,False,16.0,14.666666666666666,15.666666666666666,16.0,12.333333333333334,6,5,4,6,4
WENGSYX,2.0,6.0,12.0,1.0,6.0,8.0,4.0,5.0,7.0,4.0,10.0,12.0,1.0,1.0,7.0,False,6.666666666666667,5.0,5.333333333333333,8.666666666666666,3.0,2,2,2,3,1
aardoiz,,,,16.0,1.0,1.0,,,,,,,,,,False,,6.0,,,,,3,,,
chlrbgus321,1.0,4.0,9.0,,,,,,,,,,,,,True,4.666666666666667,,,,,1,,,,
cunliang.kong,,,,,,,,,,,,,,,,False,,,,,,,,,,
dkorenci,28.0,1.0,1.0,7.0,2.0,2.0,11.0,1.0,1.0,7.0,1.0,1.0,11.0,2.0,1.0,False,10.0,3.6666666666666665,4.333333333333333,3.0,4.666666666666667,4,1,1,1,2
emukans,,,,,,,,,,,,,,,,False,,,,,,,,,,
guntis,,,,,,,,,,,,,,,,False,,,,,,,,,,
lukechan1231,,,,,,,,,,,,,,,,False,,,,,,,,,,
pzchen,4.0,8.0,11.0,3.0,10.0,12.0,1.0,8.0,9.0,1.0,2.0,8.0,2.0,7.0,8.0,False,7.666666666666667,8.333333333333334,6.0,3.6666666666666665,5.666666666666667,3,4,3,2,3
talent404,,,,,,,,,,,,,,,,True,,,,,,,,,,
the0ne,16.0,22.0,30.0,,,,,,,,,,,,,False,22.666666666666668,,,,,8,,,,
tthhanh,19.0,27.0,24.0,17.0,26.0,22.0,17.0,18.0,22.0,21.0,25.0,22.0,21.0,25.0,22.0,False,23.333333333333332,21.666666666666668,19.0,22.666666666666668,22.666666666666668,9,7,6,7,6
zhwa3087,22.0,15.0,13.0,11.0,17.0,19.0,12.0,17.0,21.0,9.0,14.0,15.0,15.0,11.0,13.0,False,16.666666666666668,15.666666666666666,16.666666666666668,12.666666666666666,13.0,7,6,5,5,5
